"# of Use","# Penggunaan"
"%1$s incl tax.","%1$s termasuk pajak."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s and above"
"%s-%s of %s","%s-%s of %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Copy data dari: %s)"
"(Will make search for the query above return results for this search.)","(Akan melakukan pencarian untuk permintaan atas hasil kembali untuk pencarian ini.)"
"* Required Fields","* Bidang Yang Harus Diisi"
"-- Please Select --","- Silahkan Pilih -"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","A group with the same name already exists."
"A name is required","Nama harus diisi"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"ALL GROUPS","SEMUA KELOMPOK"
"AM","AM"
"Action","Tindakan"
"Actual Price","Harga sebenarnya"
"Add","Tambah"
"Add Attribute","Tambah Atribut"
"Add Design Change","Tambah Desain Ganti"
"Add Group","Tambah Grup"
"Add Group Price","Tambah Group Harga"
"Add Items to Cart","Tambah Produk to Cart"
"Add New","Tambah Baru"
"Add New Attribute","Tambah Atribut Baru"
"Add New Attribute Set","Tambah Atribut Set Baru"
"Add New Group","Tambah Grup Baru"
"Add New Images","Tambah Gambar Baru"
"Add New Option","Tambah Opsi Baru"
"Add New Row","Tambah Row Baru"
"Add New Search Term","Tambah Cari Term Baru"
"Add New Set","Tambah Set Baru"
"Add Option","Tambah Option"
"Add Product","Tambah Produk"
"Add Product To Websites","Tambah Produk Untuk Website"
"Add Root Category","Tambah Akar Kategori"
"Add Subcategory","Tambah Subkategori"
"Add Tax","Tambah Pajak"
"Add Tier","Tambah Tier"
"Add attribute into attribute set","Tambah attribute into attribute set"
"Add group into attribute set","Tambah group into attribute set"
"Add new custom option into product","Tambah new custom option into product"
"Add new values into custom option","Tambah new values into custom option"
"Add option","Tambah option"
"Add to Cart","Tambah ke Cart"
"Add to Compare","Tambah ke Bandingkan"
"Add to My Wishlist","Tambah ke Daftar Keinginan Saya"
"Add to Wishlist","Tambah ke Daftar Keinginan"
"Additional Information","Informasi Tambahan"
"Alert Urls","Alert Urls"
"All","Semua"
"All Product Types","Semua Jenis Produk"
"All Websites","Semua Websites"
"All products","Semua produk"
"All products - recently added products, New products - products marked as new","Semua produk - recently added products, New products - products marked as new"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Semua produk dari himpunan ini akan dihapus! Apakah Anda yakin ingin menghapus atribut ini diatur?"
"Allow All Products per Page","Allow semua produk per Page"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products dan Categories"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"Allow HTML-tags on Front-end","Biarkan HTML-tag pada Front-end"
"Allowed File Extensions","Diizinkan Ekstensi File"
"Allowed file extensions to upload","Diizinkan ekstensi file untuk meng-upload"
"Amount","Jumlah"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product."
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving this group.","An error occurred while saving this group."
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Terapkan Untuk"
"Apply To Configurable/Grouped Product","Terapkan Untuk Dikonfigurasi / Dikelompokkan Produk"
"Approved","Disetujui"
"Are you sure you want to delete this category?","Apakah Anda yakin ingin menghapus kategori ini?"
"Are you sure you would like to remove all products from your comparison?","Apakah Anda yakin ingin menghapus semua produk dari perbandingan Anda?"
"Are you sure you would like to remove this item from the compare products?","Apakah Anda yakin ingin menghapus item ini dari produk membandingkan?"
"Are you sure?","Apa kamu yakin?"
"As low as:","Serendah:"
"Assign","Menetapkan"
"Assign product link","Menetapkan link produk"
"Assign product to category","Menetapkan produk untuk kategori"
"Assigned Products","Produk ditugaskan"
"Associated Products","Associated Produk"
"Attrib. Set Name","Attrib. Set Nama"
"Attribute ""%s"" is invalid.","Atribut ""%s"" is invalid."
"Attribute ""%s"" is required.","Atribut ""%s"" is required."
"Attribute Code","Atribut Kode"
"Attribute Information","Atribut Informasi"
"Attribute Label","Atribut Label"
"Attribute Model","Atribut Model"
"Attribute Name:","Nama Atribut:"
"Attribute Properties","Atribut Properti"
"Attribute Set","Atribut Set"
"Attribute Sets","Atribut Sets"
"Attribute add","Atribut add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute group with the ""/name/"" name already exists","Atribut kelompok dengan ""/name/"" nama sudah ada"
"Attribute group with the \"/name/\" name already exists","Atribut kelompok dengan \"/name/\" nama sudah ada"
"Attribute group with the \/name/\ name already exists","Atribut kelompok dengan \/name/\ nama sudah ada"
"Attribute model not defined","Atribut model tidak didefinisikan"
"Attribute remove","Atribut remove"
"Attribute with the same code already exists","Atribut dengan kode yang sama sudah ada"
"Attributes","Atribut"
"Attrribute names can be specified per store.","Nama Atribut dapat ditentukan per toko."
"Autogenerate","Autogenerate"
"Availability","Tersedianya"
"Availability:","Ketersediaan:"
"Availability: In stock.","Ketersediaan: In stock."
"Availability: Out of stock.","Ketersediaan: Keluar dari saham."
"Back","Kembali"
"Backend Model","Backend Model"
"Backend Table","Backend Tabel"
"Backend Table Title","Backend Tabel Judul"
"Backorders","Backorders"
"Base Image Width","Base Image Lebar"
"Base directory to upload image file is not specified","Direktori dasar untuk meng-upload file gambar tidak ditentukan"
"Based On","Berdasarkan"
"Before Order Confirmation","Before Order Confirmation"
"Best Value","Nilai Terbaik"
"Block after Info Column","Blok setelah Info Kolom"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Bawah / Kiri"
"Bottom/Right","Kanan Bawah"
"Brand","Merek"
"Browse By","Telusuri By"
"Bundle Items","Bundle Items"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Beli %1$s untuk %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Beli %1$s untuk %2$s (%3$s termasuk pajak.) Masing-masing"
"Buy %1$s for %2$s each","Beli %1$s untuk %2$s masing-masing"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Cache refresh needed."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Pengiriman"
"Can be used only with catalog input type Dropdown","Hanya dapat digunakan dengan katalog input type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Hanya dapat digunakan dengan jenis masukan katalog Dropdown, Multiple Pilih dan Harga"
"Can't create image.","Tidak dapat membuat gambar."
"Can\'t create image.","Can\'t create image."
"Cancel","Cancel"
"Cannot create image.","Cannot create image."
"Cannot create writeable directory '%s'","Tidak dapat membuat direktori ditulisi '%s'"
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Keranjang Barang Atribut"
"Catalog","Katalog"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Catalog Category Link"
"Catalog Input Type for Store Owner","Katalog Masukan Type untuk Store Owner"
"Catalog New Products List","Catalog New Products List"
"Catalog Price Scope","Katalog Harga Lingkup"
"Catalog Product Compare List","Catalog Produk Compare List"
"Catalog Product Email to a Friend","Catalog Produk Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Produk Image Gallery Popup"
"Catalog Product Link","Catalog Produk Link"
"Catalog Product View (Any)","Catalog Produk View (Any)"
"Catalog Product View (Configurable)","Catalog Produk View (Configurable)"
"Catalog Product View (Grouped)","Catalog Produk View (Grouped)"
"Catalog Product View (Simple)","Catalog Produk View (Simple)"
"Catalog Product View (Virtual)","Catalog Produk View (Virtual)"
"Catalog Section","Katalog Bagian"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Catalog product custom option values API","Catalog produk custom option values API"
"Catalog product custom options API","Catalog produk custom options API"
"Catalog, Search","Katalog, Cari"
"Categories","Kategori"
"Categories Sitemap","Kategori Sitemap"
"Category","Kategori"
"Category API","Kategori API"
"Category Data","Kategori data"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Blok Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Navigation:","Kategori Navigasi:"
"Category Products","Kategori Produk"
"Category Top Navigation","Kategori Top Navigation"
"Category URL Suffix","Kategori URL Suffix"
"Category attributes API","Kategori atribut API"
"Category delete error","Kategori error delete"
"Category deleted","Kategori dihapus"
"Category move error","Kategori bergerak kesalahan"
"Category move error %s","Category move error %s"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Category move operation is not possible: the new parent category was not found."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Category must be instance of Mage_Catalog_Model_Category","Kategori harus contoh Mage_Catalog_Model_Category"
"Category saved","Kategori disimpan"
"Center","Center"
"Change","Perubahan"
"Change or Retrieve attribute store view","Mengubah atau Ambil atribut tampilan toko"
"Change status","Perubahan status"
"Check items to add to the cart or","Periksa item untuk menambahkan ke keranjang atau"
"Choose an Option...","Pilih Opsi ..."
"Choose option...","Pilihan Pilih ..."
"Clear All","Bersihkan Semua"
"Clear All Items","Hapus Semua Produk"
"Clear Price","Clear harga"
"Click for price","Click for harga"
"Close Window","Tutup Jendela"
"Collapse All","Perkecil Semua"
"Color","Warna"
"Comma-separated.","Comma-separated."
"Comparable","Sebanding"
"Comparable on Front-end","Sebanding di Front-end"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Membandingkan"
"Compare Items","Bandingkan Produk"
"Compare Products","Bandingkan Produk"
"Compare Products (%d)","Bandingkan Produk (%d)"
"Compare Products - %d Items","Bandingkan Produk - %d item"
"Compare Products List","Bandingkan Produk Daftar"
"Compare list successfully cleared","Bandingkan Daftar berhasil dibersihkan"
"Conditions Combination","Kondisi Kombinasi"
"Configurable Product","Produk dikonfigurasi"
"Configurable Product Settings","Pengaturan Produk dikonfigurasi"
"Configure Product","Configure Produk"
"Continue","Terus"
"Copy From Configurable","Salin Dari Dikonfigurasi"
"Country/State","Negara / Negara"
"Create","Membuat"
"Create (Upload)","Buat (Upload)"
"Create Empty","Buat Kosong"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Create Product Settings","Buat Pengaturan Produk"
"Create Simple Associated Product","Buat Simple Produk Terkait"
"Create attribute set based on another set","Create attribute set based on another set"
"Create new attribute","Create new attribute"
"Create new category","Buat kategori baru"
"Create new product","Buat produk baru"
"Cross-sells","Cross-menjual"
"Currently Shopping by","Saat Belanja oleh"
"Currently Shopping by:","Currently Shopping by:"
"Custom Design","Custom Design"
"Custom Options","Kustom Pilihan"
"Custom options","Custom options"
"Customer Group","Kelompok pelanggan"
"Customers Reviews","Pelanggan Ulasan"
"Customers Tagged Product","Pelanggan Tagged Produk"
"Customers for alert %s was successfuly added to queue","Pelanggan untuk waspada %s telah successfuly ditambahkan ke antrian"
"Data Type for Saving in Database","Jenis data untuk Penghematan database"
"Date","Tanggal"
"Date & Time Custom Options","Tanggal & Waktu opsi kustomisasi"
"Date Fields Order","Tanggal Fields Order"
"Date Subscribed","Tanggal Berlangganan"
"Date fields order","Tanggal bidang memesan"
"Datetime","Datetime"
"Decimal","Desimal"
"Decimal Number","Jumlah desimal"
"Declare attribute value saving scope","Menyatakan nilai atribut menghemat ruang lingkup"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Default Popup Text Message"
"Default Price","Default Price"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Standar Qty"
"Default Values","Nilai Default"
"Default price","Harga default"
"Default value","Nilai default"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Hapus"
"Delete Attribute","Hapus Atribut"
"Delete Attribute Set","Hapus Atribut Set"
"Delete Category","Hapus Kategori"
"Delete Group Price","Delete Group Harga"
"Delete Option","Hapus Pilihan"
"Delete Row","Hapus Row"
"Delete Search","Hapus Cari"
"Delete Selected Group","Hapus Grup Terpilih"
"Delete Tier","Delete Tier"
"Delete attribute","Delete attribute"
"Delete category","Hapus kategori"
"Delete product","Hapus produk"
"Depends on design theme","Tergantung pada tema desain"
"Description","Deskripsi"
"Design","Disain"
"Details","Details"
"Disabled","Cacat"
"Disallowed file type.","Disallowed file tipe."
"Disalollowed file format.","Disalollowed file format."
"Display Actual Price","Display harga sebenarnya"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Display Price Interval as One Harga"
"Display Product Count","Display Produk Count"
"Display Type","Display Tipe"
"Display in Suggested Terms","Tampilan di Disarankan Persyaratan"
"Double click on a group to rename it","Klik dua kali pada kelompok untuk mengubah nama itu"
"Double click on above image to view full picture","Klik dua kali pada gambar di atas untuk melihat gambar penuh"
"Downloadable Information","Downloadable Information"
"Dropdown","Dropdown"
"Duplicate","Duplikat"
"Duplicate amount found.","Duplicate amount found."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Gandakan situs harga lapis kelompok pelanggan dan kuantitas."
"Duplicate website, country and state tax found.","Situs duplikat, negara dan pajak negara ditemukan."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Mengedit"
"Edit Attribute Set '%s'","Mengedit Set Atribut '%s'"
"Edit Product Attribute","Mengedit atribut produk"
"Edit Product Attribute ""%s""","Mengedit atribut produk ""%s"""
"Edit Search","Ubah Search"
"Edit Search '%s'","Ubah Cari '%s'"
"Edit Set Name","Mengedit Set nama"
"Email","Email"
"Email to a Friend","Email ke Teman"
"Empty","Kosong"
"Enable MAP","Enable MAP"
"Enable Qty Increments","Enable Qty Increments"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enabled","Diaktifkan"
"Error during retrieval of option value: %s","Kesalahan selama pengambilan nilai opsi: %s"
"Error while adding customers for %s alert. Message: %s","Kesalahan saat menambahkan pelanggan untuk waspada %s. Pesan: %s"
"Error while saving this group. Group with the same name already exists.","Kesalahan saat menyimpan grup ini. Kelompok dengan nama yang sama sudah ada."
"Error while saving this group. Please try again later.","Kesalahan saat menyimpan grup ini. Silakan coba lagi nanti."
"Exclude","Mengecualikan"
"Expand All","Melebarkan Semua"
"Failed","Gagal"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Gagal untuk memindahkan file: %s"
"Feature Products","Fitur Produk"
"Field is not complete","Field is not complete"
"File options format is not valid","Format file pilihan tidak valid"
"File options format is not valid.","File options format is not valid."
"File upload failed","Upload file gagal"
"Filter","Filter"
"Filter model name must be declared","Nama model Filter harus dinyatakan"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filter must be as object. Set correct filter please","Filter harus sebagai objek. Set benar Filter silahkan"
"Filterable (no results)","Disaring (tidak ada hasil)"
"Filterable (with results)","Disaring (dengan hasil)"
"Filters must be as array","Filter harus sebagai array yang"
"First Name","Nama Depan"
"Fixed","Tetap"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Modul Katalog datar memiliki batas %2$d atribut disaring dan / atau semacam mampu. Saat ini ada %1$d. Silahkan mengurangi jumlah disaring / semacam mampu atribut untuk menggunakan modul ini."
"For internal use.","For internal use."
"For internal use. Must be unique with no spaces","Untuk penggunaan internal. Harus unik tanpa spasi"
"For reindex enabled product(s) you need specify store or product","Untuk Isi nama baru kotak diaktifkan produk (s) yang Anda butuhkan menentukan toko atau produk"
"For the last time placed.","For the last time placed."
"Frontend","Frontend"
"Frontend Model","Frontend Model"
"Frontend Properties","Properti Frontend"
"Gallery","Galeri"
"General Information","Informasi Umum"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Dapatkan harga khusus"
"Global","Global"
"Globally Editable","Secara global Editable"
"Go to Home Page","Pergi ke Halaman"
"Grid","Kisi"
"Group add","Group add"
"Group remove","Group remove"
"Grouped Product","Dikelompokkan Produk"
"Groups","Grup"
"Home","Rumah"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","If empty, the Category Nama will be used"
"If empty, the Product Name will be used","If empty, the Produk Nama will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Jika Anda tidak menentukan nilai opsi untuk tampilan toko tertentu maka default (Admin) nilai yang akan digunakan."
"Image","Gambar"
"Image content is not valid base64 data.","Konten gambar tidak data yang valid base64."
"Image does not exist.","Image does not exist."
"Image file not found","File gambar tidak ditemukan"
"Image file was not found.","Image file was not found."
"Image not exists","Gambar tidak ada"
"Image not specified.","Gambar tidak ditentukan."
"Image type and information need to be specified for each store view.","Jenis gambar dan informasi harus ditentukan untuk setiap tampilan toko."
"In Cart","In Cart"
"In Stock","Di Bursa"
"In stock","Dalam stok"
"In stock.","Dalam saham."
"Incl. Tax","Incl. Pajak"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Indexed category/products association","Indexed category/products association"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Masukan Type"
"Input Validation for Store Owner","Validasi Input untuk Store Owner"
"Integer","Bilangan bulat"
"Integer Number","Integer Nomor"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Harga Tier valid"
"Invalid attribute %s","Atribut tidak valid %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Pilihan atribut tidak valid untuk atribut %s (%s), melompat-lompat catatan"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record","Set atribut tidak valid, melompat-lompat catatan"
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s","Blok tidak valid: %s"
"Invalid block: %s.","Invalid block: %s."
"Invalid category","Kategori tidak valid"
"Invalid category IDs","ID kategori tidak valid"
"Invalid category IDs.","Invalid category IDs."
"Invalid category.","Invalid category."
"Invalid image file type","Image valid jenis file"
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Jenis gambar yang tidak valid."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid option id specified for %s (%s), skipping the record","Id opsi tidak valid ditentukan untuk %s (%s), melompat-lompat catatan"
"Invalid product type specified, skipping the record","Jenis produk yang tidak valid ditentukan, melompat-lompat catatan"
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Toko tidak valid"
"Invalid store specified, skipping the record","Toko tidak valid, melompat-lompat catatan"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Inventaris"
"Is Default","Apakah default"
"Is Required","Diperlukan"
"Items %s to %s of %s total","Item %s ke %s dari jumlah %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Item yang Anda tidak ingin menunjukkan dalam katalog atau hasil pencarian harus memiliki status yang 'cacat' di toko yang diinginkan."
"Keep your eyes open for our special Back to School items and save A LOT!","Jauhkan mata Anda terbuka untuk Kembali khusus untuk item Sekolah dan menyimpan banyak!"
"Label","Label"
"Last Name","Nama Terakhir"
"Last Notification","Pemberitahuan terakhir"
"Layered Navigation","Layered Navigation"
"Learn More","Pelajari Lebih"
"Length of text is too long","Panjang teks terlalu panjang"
"Letters","Surat"
"Letters(a-zA-Z) or Numbers(0-9)","Huruf (a-zA-Z) atau Nomor (0-9)"
"Line %d, Email: %s","Baris %d, Email: %s"
"Line %d, SKU: %s","Baris %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (terkait, Up menjual, Palang sell)"
"Link product does not exist.","Link produk does not exist."
"Link product not exists.","Link produk tidak ada."
"Link to a Specified Category","Link to a Specified Category"
"Link to a Specified Product","Link to a Specified Produk"
"List","Daftar"
"List Mode","Daftar Modus"
"List of Products that are set as New","List of Produk that are set as New"
"List of types","List of tipe"
"Manage Attribute Sets","Mengelola Set Atribut"
"Manage Attributes","Mengelola Atribut"
"Manage Catalog Categories","Mengelola Katalog Kategori"
"Manage Categories","Mengelola Kategori"
"Manage Label / Options","Mengelola Label / Options"
"Manage Options (values of your attribute)","Mengelola Pilihan (nilai-nilai atribut Anda)"
"Manage Product Attributes","Mengelola Atribut Produk"
"Manage Product Sets","Mengelola Set Produk"
"Manage Products","Mengelola Produk"
"Manage Stock","Mengelola Stock"
"Manage Titles (Size, Color, etc.)","Mengelola Judul (Ukuran, Warna, dll)"
"Manufacturer","Pabrikan"
"Max Characters","Max Karakter"
"Maximal Depth","Kedalaman maksimal"
"Maximum Image Size","Maksimum Ukuran Gambar"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum Qty Allowed in Shopping Cart","Maksimum Jumlah Diizinkan Troli Belanja"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Tinggi gambar maksimum"
"Maximum image width","Lebar gambar maksimal"
"Maximum number of characters","Jumlah maksimum karakter"
"Maximum number of characters:","Maksimum number of characters:"
"Maximum number of price intervals is 100","Maksimum number of price intervals is 100"
"Maximum resolution for upload image","Maksimum resolution for upload image"
"Maximum width and height dimension for upload image is %s.","Maksimum lebar dan tinggi dimension for upload image is %s."
"Maximum width and height resolutions for upload image","Maksimum lebar dan tinggi resolutions for upload image"
"Maximum width base product image will be scaled down to in pixels","Maksimum lebar base product image will be scaled down to in pixels"
"Maximum width small product image will be scaled down to in pixels","Maksimum lebar small product image will be scaled down to in pixels"
"Media Image","Media Gambar"
"Middle Name","Nama tengah"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines Per Page","Garis Minimum Per Halaman"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum Jumlah Diizinkan Troli Belanja"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty untuk Status Barang untuk menjadi Out of Stock"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record","Hilang SKU, melompat-lompat catatan"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","Lebih Views"
"Move","Bergerak"
"Move category in tree","Pindahkan kategori di pohon"
"Multi update product","Multi update produk"
"Multiple Select","Beberapa Pilih"
"Must be in the allowed values list.","Must be in the allowed values list."
"My Account","My Account"
"N/A","N/A"
"Name","Nama"
"Name In %s","Nama Dalam %s"
"Name in %s","Name in %s"
"Name<br/>(For internal use)","Nama <br/> (Untuk penggunaan internal)"
"New Category","Baru Kategori"
"New Product","Produk baru"
"New Product Attribute","Produk atribut baru"
"New Products","Produk baru"
"New Products Grid Template","Produk Grid Template baru"
"New Products List Template","Produk List Template baru"
"New Root Category","Root Category baru"
"New Search","Pencarian baru"
"New Set Name","Set nama baru"
"New Subcategory","Subcategory baru"
"New products","Produk baru"
"Next","Berikutnya"
"No","Tidak"
"No image","Tidak ada gambar"
"No layout updates","Tidak ada tata letak update"
"No options of this product are available.","Tidak ada pilihan dari produk ini tersedia."
"No product collections found","Tidak ada koleksi produk yang ditemukan"
"No product collections found.","No product collections found."
"None","Tak satupun"
"Not Visible Individually","Not Visible Individually"
"Not shared with other products","Tidak dibagi dengan produk lain"
"Notify Low Stock RSS","Beritahu Rendah Stock RSS"
"Notify for Quantity Below","Beritahu untuk Quantity bawah"
"Nowhere","Nowhere"
"Number of Products per Page","Number of Produk per Page"
"Number of Products to Display","Number of Produk to Display"
"Number of Uses","Jumlah Penggunaan"
"Number of results","Number of results"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"Number of results<br/>(For last time placed)","Jumlah hasil <br/> (Untuk terakhir kalinya ditempatkan)"
"OK","OK"
"OR","OR"
"Old Price:","Old Harga:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart","Validasi pilihan gagal menambah produk ke keranjang"
